Date;BTC;ETH;DOGE;LTC;HEX
2021-05-07;56413.953125;3490.105225;0.581110;354.506836;0.026100
2021-05-08;57352.765625;3481.988037;0.687801;345.296875;0.031150
2021-05-09;58877.390625;3911.463135;0.635820;347.090027;0.033659
2021-05-10;58250.871094;3924.413330;0.569687;387.869171;0.039031
2021-05-11;55847.242188;3948.271973;0.450488;359.258087;0.045441
2021-05-12;56714.531250;4174.635742;0.493742;377.670532;0.049870
2021-05-13;49735.433594;3828.918457;0.392176;310.102386;0.053944
2021-05-14;49682.980469;3720.122314;0.487070;317.517212;0.064377
2021-05-15;49855.496094;4075.951660;0.559668;326.397919;0.060655
2021-05-16;46716.636719;3641.830811;0.507910;299.817963;0.053124
2021-05-17;46415.898438;3581.343018;0.513413;296.092438;0.054563
2021-05-18;43488.058594;3276.872314;0.486954;281.103333;0.049232
2021-05-19;42944.976563;3382.657227;0.476435;294.605591;0.054356
2021-05-20;36753.667969;2439.638672;0.330252;186.866272;0.040800
2021-05-21;40596.949219;2772.341309;0.398124;210.935974;0.047460
2021-05-22;37371.031250;2436.014648;0.358717;180.538742;0.049128
2021-05-23;37531.449219;2298.367188;0.342522;169.684509;0.046699
2021-05-24;34700.363281;2099.936035;0.306715;142.802643;0.039960
2021-05-25;38795.781250;2649.033203;0.366041;185.037491;0.045780
2021-05-26;38392.625000;2707.052734;0.346396;183.976318;0.049107
2021-05-27;39316.890625;2888.752441;0.353463;199.235184;0.056111
2021-05-28;38507.082031;2742.468994;0.333651;193.990540;0.062554
2021-05-29;35684.156250;2414.067139;0.311398;177.378220;0.059233
2021-05-30;34607.406250;2278.288818;0.302969;163.801666;0.054021
2021-05-31;35658.593750;2387.198486;0.301949;170.668884;0.053911
2021-06-01;37293.792969;2707.560547;0.325744;188.117554;0.052338
2021-06-02;36699.921875;2634.456055;0.370302;183.002991;0.054372
2021-06-03;37599.410156;2708.376221;0.423739;187.410080;0.055430
2021-06-04;39242.484375;2857.165527;0.400982;193.549042;0.054978
2021-06-05;36880.156250;2691.619385;0.376752;178.706223;0.060114
2021-06-06;35538.609375;2629.748779;0.371676;173.146652;0.057681
2021-06-07;35835.265625;2713.047363;0.371566;176.539307;0.059697
2021-06-08;33589.519531;2594.602295;0.331822;162.048981;0.057019
2021-06-09;33416.976563;2510.199219;0.326423;160.891312;0.059857
2021-06-10;37389.515625;2611.142578;0.343339;172.478577;0.065674
2021-06-11;36697.031250;2472.858887;0.326364;168.243973;0.072094
2021-06-12;37340.144531;2354.752197;0.318893;162.977036;0.079128
2021-06-13;35555.789063;2372.690186;0.312485;161.982590;0.081837
2021-06-14;39016.968750;2508.770508;0.323903;170.854401;0.085048
2021-06-15;40427.167969;2587.762695;0.326785;178.633728;0.091123
2021-06-16;40168.691406;2544.864746;0.320378;175.329391;0.090807
2021-06-17;38341.421875;2367.306396;0.307749;166.603317;0.082200
2021-06-18;38099.476563;2374.586914;0.306428;167.234039;0.090927
2021-06-19;35854.527344;2235.159180;0.293649;156.554199;0.096925
2021-06-20;35563.140625;2171.337891;0.286394;153.014450;0.095193
2021-06-21;35641.144531;2245.317871;0.280660;154.971985;0.092926
2021-06-22;31622.376953;1886.667603;0.178682;124.595276;0.079373
2021-06-23;32515.714844;1878.625000;0.190671;119.675308;0.079146
2021-06-24;33682.800781;1968.957397;0.234970;129.060806;0.080251
2021-06-25;34659.105469;1989.215820;0.263480;134.596222;0.078327
2021-06-26;31594.664063;1810.884277;0.237673;125.393433;0.074559
2021-06-27;32287.523438;1830.996948;0.246045;126.893791;0.069624
2021-06-28;34679.121094;1981.386475;0.264918;132.592697;0.075681
2021-06-29;34475.558594;2083.448730;0.257061;137.613098;0.080817
2021-06-30;35908.386719;2164.216309;0.263417;144.050446;0.083406
2021-07-01;35035.984375;2274.397461;0.253828;144.136642;0.084027
2021-07-02;33549.601563;2109.892578;0.243982;137.299271;0.075556
2021-07-03;33854.421875;2150.834961;0.245106;136.930588;0.080129
2021-07-04;34665.566406;2226.550293;0.246425;140.317993;0.085531
2021-07-05;35284.343750;2321.922852;0.246419;144.849335;0.087962
2021-07-06;33723.507813;2197.919434;0.231216;137.951675;0.086521
2021-07-07;34225.679688;2323.208496;0.234301;138.960159;0.085659
2021-07-08;33889.605469;2317.949219;0.224383;137.518265;0.084811
2021-07-09;32861.671875;2115.573975;0.207073;132.170120;0.082404
2021-07-10;33811.242188;2146.999756;0.219846;134.651337;0.084104
2021-07-11;33509.078125;2110.875732;0.213887;133.981262;0.084121
2021-07-12;34254.015625;2140.506836;0.216010;134.291245;0.086937
2021-07-13;33125.468750;2034.098389;0.208009;133.483734;0.086468
2021-07-14;32723.845703;1941.167847;0.199978;131.399017;0.115763
2021-07-15;32827.875000;1994.712036;0.197749;131.132385;0.122264
2021-07-16;31841.550781;1916.598389;0.185238;125.628967;0.171832
2021-07-17;31397.308594;1876.881348;0.172118;120.943443;0.162431
2021-07-18;31533.884766;1900.194336;0.186841;120.080811;0.167243
2021-07-19;31800.011719;1893.053589;0.181818;119.384407;0.155619
2021-07-20;30838.285156;1819.082031;0.173763;113.240372;0.158289
2021-07-21;29796.285156;1786.276245;0.170527;107.334213;0.133256
2021-07-22;32138.873047;1994.822876;0.190480;117.632500;0.147496
2021-07-23;32305.958984;2025.105713;0.191359;120.742012;0.135346
2021-07-24;33593.730469;2123.961182;0.194823;124.218475;0.143016
2021-07-25;34290.292969;2187.145508;0.197173;126.115936;0.144765
2021-07-26;35384.031250;2191.309814;0.198030;127.651413;0.134990
2021-07-27;37276.035156;2230.197021;0.203836;131.232895;0.122824
2021-07-28;39503.187500;2302.081299;0.206111;134.767212;0.136746
2021-07-29;39995.453125;2299.011963;0.205591;140.299164;0.128553
2021-07-30;40027.484375;2382.545166;0.205023;141.471710;0.126764
2021-07-31;42196.304688;2461.575684;0.208638;145.654297;0.117862
2021-08-01;41460.843750;2530.462891;0.207753;144.509857;0.122860
2021-08-02;39907.261719;2557.774658;0.204279;140.542435;0.123193
2021-08-03;39178.402344;2609.413086;0.203431;141.468506;0.117371
2021-08-04;38213.332031;2508.544922;0.196312;138.486313;0.141247
2021-08-05;39744.515625;2725.669678;0.201575;142.627914;0.145913
2021-08-06;40865.867188;2827.503418;0.200960;143.548004;0.144899
2021-08-07;42832.796875;2891.707520;0.204846;147.898758;0.134462
2021-08-08;44574.437500;3161.232666;0.261956;155.958954;0.127430
2021-08-09;43791.925781;3012.885742;0.240122;149.818512;0.130202
2021-08-10;46280.847656;3163.050049;0.256366;166.467728;0.129057
2021-08-11;45599.703125;3142.830322;0.257424;165.408691;0.120937
2021-08-12;45576.878906;3164.175781;0.264853;170.879288;0.130648
